date,coronavirus,covid,cuarentena
2020-02-01,8,0,0
2020-02-02,8,0,0
2020-02-03,5,0,0
2020-02-04,4,0,0
2020-02-05,4,0,0
2020-02-06,4,0,0
2020-02-07,4,0,0
2020-02-08,5,0,0
2020-02-09,4,0,0
2020-02-10,4,0,0
2020-02-11,4,0,0
2020-02-12,5,0,0
2020-02-13,6,0,0
2020-02-14,6,0,0
2020-02-15,4,0,0
2020-02-16,4,0,0
2020-02-17,4,0,0
2020-02-18,4,0,0
2020-02-19,4,0,0
2020-02-20,3,0,0
2020-02-21,3,0,0
2020-02-22,4,0,0
2020-02-23,5,0,0
2020-02-24,8,0,0
2020-02-25,15,1,0
2020-02-26,21,1,0
2020-02-27,18,1,0
2020-02-28,16,1,0
2020-02-29,14,1,0
2020-03-01,12,1,0
2020-03-02,13,1,0
2020-03-03,15,1,0
2020-03-04,13,1,0
2020-03-05,11,1,0
2020-03-06,34,2,0
2020-03-07,26,2,0
2020-03-08,13,1,0
2020-03-09,24,2,0
2020-03-10,21,2,0
2020-03-11,28,3,0
2020-03-12,44,4,1
2020-03-13,45,4,1
2020-03-14,50,5,1
2020-03-15,70,7,2
2020-03-16,91,12,4
2020-03-17,84,13,4
2020-03-18,80,11,6
2020-03-19,72,11,6
2020-03-20,75,12,8
2020-03-21,100,18,29
2020-03-22,92,17,17
2020-03-23,77,16,18
2020-03-24,71,16,15
2020-03-25,70,16,11
2020-03-26,67,15,9
2020-03-27,58,14,8
2020-03-28,59,13,8
2020-03-29,66,15,8
2020-03-30,49,15,10
2020-03-31,47,14,11
2020-04-01,46,15,8
2020-04-02,43,13,8
2020-04-03,67,13,7
2020-04-04,83,14,7
2020-04-05,88,13,8
2020-04-06,61,15,12
2020-04-07,59,15,11
2020-04-08,96,13,7
2020-04-09,76,12,6
2020-04-10,77,13,5
2020-04-11,65,16,6
2020-04-12,59,15,6
2020-04-13,61,14,8
2020-04-14,62,12,6
2020-04-15,60,12,6
2020-04-16,56,12,8
2020-04-17,60,12,8
2020-04-18,48,12,6
2020-04-19,40,11,7
2020-04-20,32,11,9
2020-04-21,28,11,12
2020-04-22,26,11,6
2020-04-23,46,11,5
2020-04-24,53,11,5
2020-04-25,56,10,6
2020-04-26,60,11,6
2020-04-27,32,12,7
2020-04-28,24,10,5
2020-04-29,23,11,5
2020-04-30,19,11,6
2020-05-01,24,10,5
2020-05-02,27,10,6
2020-05-03,30,11,7
2020-05-04,23,10,9
2020-05-05,22,11,15
2020-05-06,23,11,10
2020-05-07,20,10,6
2020-05-08,20,10,6
2020-05-09,22,10,6
2020-05-10,23,8,4
2020-05-11,22,12,6
2020-05-12,20,10,5
2020-05-13,20,10,5
2020-05-14,20,12,6
2020-05-15,19,11,6
2020-05-16,23,10,6
2020-05-17,25,11,6
2020-05-18,19,11,10
2020-05-19,15,10,10
2020-05-20,13,10,7
2020-05-21,13,9,4
2020-05-22,12,9,4
2020-05-23,16,10,4
2020-05-24,17,10,4
2020-05-25,16,9,5
2020-05-26,13,10,5
2020-05-27,13,10,5
2020-05-28,13,10,7
2020-05-29,14,10,9
2020-05-30,13,9,5
2020-05-31,17,10,5
2020-06-01,13,10,6
2020-06-02,12,9,4
2020-06-03,12,9,3
2020-06-04,12,10,3
2020-06-05,11,10,4
2020-06-06,13,9,3
2020-06-07,15,9,3
2020-06-08,11,10,4
2020-06-09,10,9,3
2020-06-10,10,9,3
2020-06-11,10,9,3
2020-06-12,10,9,3
2020-06-13,10,8,3
2020-06-14,12,8,4
2020-06-15,13,10,7
2020-06-16,11,9,4
2020-06-17,9,9,3
2020-06-18,9,9,3
2020-06-19,9,8,2
2020-06-20,11,10,2
2020-06-21,11,8,2
2020-06-22,13,10,3
2020-06-23,11,10,3
2020-06-24,9,9,4
2020-06-25,9,10,3
2020-06-26,10,10,3
2020-06-27,12,10,2
2020-06-28,13,10,4
2020-06-29,13,10,4
2020-06-30,9,10,4
2020-07-01,9,9,3
2020-07-02,9,9,3
2020-07-03,8,8,2
2020-07-04,10,9,3
2020-07-05,11,9,3
2020-07-06,9,9,3
2020-07-07,9,10,2
2020-07-08,9,11,3
2020-07-09,9,11,3
2020-07-10,11,13,10
2020-07-11,12,12,11
2020-07-12,13,12,9
2020-07-13,11,12,9
2020-07-14,10,12,9
2020-07-15,10,13,8
2020-07-16,10,12,6
2020-07-17,10,12,4
2020-07-18,11,13,4
2020-07-19,11,12,3
2020-07-20,12,12,3
2020-07-21,10,13,5
2020-07-22,8,11,9
2020-07-23,8,12,6
2020-07-24,8,11,5
2020-07-25,8,12,4
2020-07-26,11,12,4
2020-07-27,8,11,5
2020-07-28,8,13,4
